"id","issue_id","comment_body","commenter_login","commenter_id","created_at","comment_body_processed"
187,83,"@nodejs/crypto ","aduh95",14309773,"2025-01-03 11:13:53","nodejs crypto
"
188,83,"The key challenge is that openssl does not implement a standard interrupt for this operation. It does allow passing a callback that can be used to interrupt it but we are not currently using it. A fix would be to implement that callback, have it check for pending exit on each call and have it interrupt the operation to generate/check the primes","jasnell",439929,"2025-01-03 17:08:32","key challenge openssl implement standard interrupt operation allow pass callback use currently use fix implement callback check pending exit call interrupt operation generate check prime
"
189,83,"Ok, I've got a fix PR here: https://github.com/nodejs/node/pull/56460 ...

Note that this only partially addresses the issue as openssl will still become unresponsive when generating overly large primes. The key issue is that the generation method performs a certain amount of work before it invokes the callback we can use to check to see if we should continue. But, for reasonably sized primes, this allows the operation to be more readily interupted.","jasnell",439929,"2025-01-03 23:29:51","fix address issue openssl unresponsive generate large prime key issue generation method perform work invoke callback check continue reasonably size prime allow operation readily interrupt
"
190,84,"It is a regression from https://github.com/nodejs/node/pull/53803 cc @jasnell because it comes from a misunderstanding about how std::vector/LocalVector should be used (if it's going to be populated later, the size should not be passed into the constructor, or it will only append the new elements to a bunch of empty handles, instead of to an empty vector)","joyeecheung",4299420,"2025-01-10 18:13:04","regression misunderstanding std::vector LocalVector use populate later size pass constructor append new element empty handle empty vector
"
191,84,"Actually https://github.com/nodejs/node/pull/53803 also broke error reporting, because it did something like `if (!...IsNothing())` to check for exceptions.","joyeecheung",4299420,"2025-01-10 18:26:17","broke error report check exception
"
192,85,"@nodejs/vm ","targos",2352663,"2024-12-26 08:39:15","nodejs vm
"
193,85,"I would like to contribute to solving this issue. Please assign it to me so I can start working on it.","rahul3002",69434755,"2024-12-31 02:31:06","contribute solve issue assign start work
"
194,85,"> I would like to contribute to solving this issue. Please assign it to me so I can start working on it.

Go for it.","juanarbol",17013303,"2025-01-02 20:33:19","contribute solve issue assign start work
"
195,85,"@gurgunday Did you solved this issue? ","rahul3002",69434755,"2025-01-03 05:50:15","solve issue
"
196,85,"The cached data is not supposed to be mixed up between `vm.Script` and `vm.compileFunction`. I think this is rather a V8 issue that it didn't reject the incorrect code cache.","legendecas",8500303,"2025-01-03 15:06:48","cache data suppose mix vm.script vm.compilefunction think v8 issue reject incorrect code cache
"
197,85,"Fixed by https://github.com/v8/v8/commit/96ee9bb9e830f6430d6a6e18fd2f7b2a9e214469","legendecas",8500303,"2025-01-06 13:48:38","fixed
"
198,86,"Also encountered this issue, a fix will be great","noamski",15819156,"2024-12-15 19:53:11","encounter issue fix great
"
199,86,"Good finding, this regression starts to appear on 22.12 and 23.3","jakecastelli",38635403,"2024-12-16 11:49:08","good finding regression appear
"
200,86,"Fixed by https://github.com/nodejs/node/pull/56282/commits/acda05d5b2dd1e2002ad280fdbcc7620e5d63c98.","lpinca",1443911,"2024-12-19 17:20:49","fix
pull
commit
"
201,86,"@lpinca The fix you mentioned didn't land in node 22, was there a reason ?","Betalos",16080229,"2025-01-20 08:42:58","fix mention land node reason
"
202,86,"This should be backported soon to 22.x - https://github.com/nodejs/node/pull/56282","jakecastelli",38635403,"2025-01-20 22:45:44","backport soon
"
203,88,"Verified.

```
> new TextDecoder('us-ascii').decode(new Uint8Array([0x32, 0x44]))
<Buffer 32 44>
> new TextDecoder('windows-1252').decode(new Uint8Array([0x32, 0x44]))
<Buffer 32 44>
> new TextDecoder('latin1').decode(new Uint8Array([0x32, 0x44]))
<Buffer 32 44>
```","lemire",391987,"2024-12-11 00:57:36","Verified
"
204,88,"This is related to https://github.com/nodejs/node/pull/55275

@mertcanaltin Can you check?

I think that the C++ function returns a buffer, not a string.","lemire",391987,"2024-12-11 01:02:25","think c++ function return buffer string
"
205,88,"> This is related to #55275
> 
> @mertcanaltin Can you check?
> 
> I think that the C++ function returns a buffer, not a string.

hello I'm looking into this, I'll post an improvement
","mertcanaltin",37827216,"2024-12-11 08:16:40","think c++ function return buffer string look post improvement
"
206,88,"hello, I am fixed this problem after then ı testet my local enviorement, ı see improvement this problem 

```sh
➜  node git:(mert/fast-path-fix) ./node
Welcome to Node.js v24.0.0-pre.
Type "".help"" for more information.
>  b = new Uint8Array([97, 108, 101])
Uint8Array(3) [ 97, 108, 101 ]
> decoder = new TextDecoder('ascii')
TextDecoder { encoding: 'windows-1252', fatal: false, ignoreBOM: false }
> decoder.decode(b)
'ale'
> 
```

many thanks for reporting the bug and for the suggestions.","mertcanaltin",37827216,"2024-12-11 09:00:50","fix problem test local environment see improvement thank report bug suggestion
"
207,88,"@mertcanaltin @lemire since this is an impactful regression rolling out as part of `v23.4.0`, are there plans to fast follow shipping a fix in a `v23.4.1` release?","lutzroeder",438516,"2024-12-11 22:35:58","impactful regression plan fast follow ship fix release
"
208,88,"@lutzroeder It is definitively getting fixed in the next release. As to whether this next release is labelled `v23.4.1` or not... I do not know.

There is also a related issue: https://github.com/nodejs/performance/issues/183

That last one is troubling as well.","lemire",391987,"2024-12-12 06:00:37","fix next release label know relate issue trouble
"
209,89,"I can reproduce, but I'm not sure #55392 is the cause (it's not an order problem):

```
> volta run --node 20 node -e ""void dns.lookup('localhost', {all:true}, console.log)""
null [ { address: '::1', family: 6 }, { address: '127.0.0.1', family: 4 } ]
> volta run --node 22.11.0 node -e ""void dns.lookup('localhost', {all:true}, console.log)""
null [ { address: '::1', family: 6 }, { address: '127.0.0.1', family: 4 } ]
> volta run --node 22.12.0 node -e ""void dns.lookup('localhost', {all:true}, console.log)""
null [ { address: '::1', family: 6 } ]
> volta run --node 23 node -e ""void dns.lookup('localhost', {all:true}, console.log)""
null [ { address: '::1', family: 6 } ]
```","targos",2352663,"2024-12-10 11:58:40","reproduce sure cause order problem volta run node node void dns lookup localhost all true console log null address family address family address family address family
"
210,89,"@nodejs/dns

The other DNS-related change in v22.12.0 was https://github.com/nodejs/node/pull/55430","targos",2352663,"2024-12-10 11:59:34","nodejs dns dns relat change
"
211,89,"Duplicate of https://github.com/nodejs/node/issues/56137. I think this is the result of a c-ares update.","lpinca",1443911,"2024-12-10 13:40:30","result c ares update
"
212,89,"Duplicate of https://github.com/nodejs/node/issues/56137","aduh95",14309773,"2024-12-10 22:17:39","duplicate
"
213,90,"Bisecting points to ecedcba357603a68530a0106d5bc0eb76bb89bcd as the first bad commit.
","lpinca",1443911,"2024-12-11 08:35:24","bisect point first bad commit
"
214,91,"It seems in this case the module being loaded by require() is recognized as ESM (due to the presence of `const require`) by syntax detection and went into require(esm), which is kind of odd because require(esm) is still behind a flag in 22.11.0, it might be another glitch from the syntax detection unflagging.

But anyway, it makes the process exit because the evaluation promise is created by V8 and once rejection happens it goes straight into the unhandled rejection handler, so we need to do some fixup later to remove it from the pending unhandled rejections.","joyeecheung",4299420,"2024-12-03 15:33:44","module load require recognize esm presence const require syntax detection require esm kind odd require esm flag glitch syntax detection unflagging make process exit evaluation promise create v8 rejection happen straight unhandled rejection handler need fixup remove pending unhandled rejection
"
215,91,"Fix in https://github.com/nodejs/node/pull/56122 (there is a separate bug in which `require(esm)` is not disabled if the module syntax detection indicates the module is ESM, but considering this has been happening on v22.x for quite a while, it is probably not too urgent to fix it).","joyeecheung",4299420,"2024-12-03 16:08:33","fix separate bug require esm disable module syntax detection module esm happen v2x urgent fix
"
216,92,"We could mark it as legacy and decide to not fix the issue, as long as the promise version is correctly async we can probably get away with the callback version being wrongly sync.","aduh95",14309773,"2024-11-26 22:45:36","mark legacy decide fix issue promise version correctly async probably get away callback version wrongly sync
"
217,92,"> We could mark it as legacy and decide to not fix the issue, as long as the promise version is correctly async we can probably get away with the callback version being wrongly sync.

If a sync version has a feature and its callback equivalent call doesn't... looks like a bad UX to me. Have we considered a new function instead? It seems more appropriate: `fs.recursiveReaddir()`","RafaelGSS",26234614,"2024-11-27 17:10:53","mark legacy decide fix issue promise version correctly async probably get away callback version wrongly sync sync version feature callback equivalent call bad ux consider new function appropriate fs recursiveReaddir
"
218,92,"Nevermind, I have a PR almost ready to fix this. ","RafaelGSS",26234614,"2024-11-27 19:51:46","pr ready fix
"
219,93,"IIUC, a minimum reproducible example is like this.

```
const fs = require('node:fs');
const fd = Symbol(""adjlyxzmfd"");
fs.fstat(fd, () => {});
```

I think we should validate `fd` either in JS or C++","jazelly",28685065,"2024-11-26 03:14:44","minimum reproducible example like validate fd javascript cplusplus
"
220,94,"Even simpler reproduction:

```mjs
import { test, beforeEach } from 'node:test'

beforeEach((t) => t.mock.timers.enable());

test(() => test());
```
```
$ node repro.js
```

It's failing here:
https://github.com/nodejs/node/blob/be5a500ae39baba2747be1b94972ef8d224fcb49/lib/internal/test_runner/mock/mock_timers.js#L396-L413","avivkeller",38299977,"2024-11-14 13:09:05","simpler reproduction test beforeeach enable test fail
"
