"id","issue_number","created_at","closed_at","updated_at","title","body","state","author_login","author_id","labels","html_url","comments_count","classification","pull_request_url","issue_resolution_time","body_processed","evidence"
263,44188,"2022-08-09 10:07:00","2022-12-10 17:06:41","2022-12-10 17:06:41","http.ServerResponse is not an instance of stream.Writable?","### Version

18.7.0

### Platform

Microsoft Windows NT 10.0.19044.0 x64

### Subsystem

stream

### What steps will reproduce the bug?

```js
import { createServer } from 'node:http';
import { Writable } from 'node:stream';
import { once } from 'node:events';

const server = createServer(async (req, nodeStreamResponse) => {
  const webStreamResponse = Writable.toWeb(nodeStreamResponse);
});
server.listen({ port: 8080 });
await once(server, 'listening');
await fetch('http://localhost:8080');
```


### How often does it reproduce? Is there a required condition?

Always.

### What is the expected behavior?

According to the [documentation](https://nodejs.org/docs/latest-v18.x/api/http.html):
> Class: http.ServerResponse extends http.OutgoingMessage
> Class: http.OutgoingMessage extends Stream

This means that `ServerResponse` fulfilling the contract `Writable.toWeb`.


### What do you see instead?

```sh
TypeError [ERR_INVALID_ARG_TYPE]: The ""streamWritable"" argument must be an stream.Writable. Received an instance of ServerResponse
    at new NodeError (node:internal/errors:387:5)
    at Object.newWritableStreamFromStreamWritable (node:internal/webstreams/adapters:99:11)
    at Writable.toWeb (node:internal/streams/writable:926:27)  
```

### Additional information

Maybe this [condition](https://github.com/nodejs/node/blob/main/lib/internal/webstreams/adapters.js#L98):
```js
if (typeof streamWritable?._writableState !== 'object') {
```
 is too heavy?","closed","sosoba",2843525,"{confirmed-bug,http,stream,""good first issue"",""web streams""}","https://github.com/nodejs/node/issues/44188",9,"Ambos",NULL,123,NULL,"A issue relata um erro onde `http.ServerResponse` não é uma instância de `stream.Writable`, apesar da documentação sugerir que `http.OutgoingMessage` (do qual `http.ServerResponse` herda) estenda `Stream`.  Os comentários discutem a necessidade de refatoração em `stream.Writable.toWeb` para aceitar `http.OutgoingMessage` (Refatoração) e também a necessidade de correção em uma declaração de tipo em `@types/node` (Testes de Regressão, pois aponta para um problema em testes de tipo).  A solução envolve ambos os aspectos:  mudar a função `toWeb` para aceitar `http.OutgoingMessage` e potencialmente ajustar o comportamento de `OutgoingMessage.writable` após `OutgoingMessage.destroyed` ser `true`. Portanto, a classificação é 'Ambos', pois envolve tanto refatoração quanto testes de regressão para resolver completamente o problema."
84,56375,"2024-12-27 11:59:43","2025-01-12 20:53:05","2025-01-12 20:53:06","tls.createSecureContext results in an abort","### Version

v22.11.0

### Platform

```text
Linux u24vm 6.8.0-50-generic #51-Ubuntu SMP PREEMPT_DYNAMIC Sat Nov  9 17:58:29 UTC 2024 x86_64 x86_64 x86_64 GNU/Linux
```

### Subsystem

tls

### What steps will reproduce the bug?

Setup a node instance,
```
» node
```
and run the following javascript code.
```
tls = require('tls');
tls.createSecureContext({clientCertEngine:'x'});
```
Then the node instance occurs an abort.

### How often does it reproduce? Is there a required condition?

This abort can always be triggered following the steps above.

### What is the expected behavior? Why is that the expected behavior?

If any error occurs, an exception or similar error-reporting stuff should be thrown, caught, and handled correctly. There is no reason to abort the whole node process.



### What do you see instead?

```
» node                                                 
Welcome to Node.js v22.11.0.
Type "".help"" for more information.
> tls = require('tls');
{
  CLIENT_RENEG_LIMIT: 3,
  CLIENT_RENEG_WINDOW: 600,
  DEFAULT_CIPHERS: 'TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:TLS_AES_128_GCM_SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES256-GCM-SHA384:DHE-RSA-AES128-GCM-SHA256:ECDHE-RSA-AES128-SHA256:DHE-RSA-AES128-SHA256:ECDHE-RSA-AES256-SHA384:DHE-RSA-AES256-SHA384:ECDHE-RSA-AES256-SHA256:DHE-RSA-AES256-SHA256:HIGH:!aNULL:!eNULL:!EXPORT:!DES:!RC4:!MD5:!PSK:!SRP:!CAMELLIA',
  DEFAULT_ECDH_CURVE: 'auto',
  DEFAULT_MIN_VERSION: 'TLSv1.2',
  DEFAULT_MAX_VERSION: 'TLSv1.3',
  getCiphers: [Function (anonymous)],
  rootCertificates: [Getter],
  convertALPNProtocols: [Function: convertALPNProtocols],
  checkServerIdentity: [Function: checkServerIdentity],
  createSecureContext: [Function: createSecureContext],
  SecureContext: [Function: SecureContext],
  TLSSocket: [Function: TLSSocket],
  Server: [Function: Server],
  createServer: [Function: createServer],
  connect: [Function: connect],
  createSecurePair: [Function: deprecated]
}
> tls.createSecureContext({clientCertEngine:'x'});
[1]    305195 segmentation fault (core dumped)  node
```

### Additional information

_No response_","closed","zyscoder",23655282,"{confirmed-bug,tls}","https://github.com/nodejs/node/issues/56375",2,"Ambos",NULL,16,"node abort tls createSecureContext clientCertEngine exception error report handle process
","O título da issue (""tls.createSecureContext results in an abort"") sugere um problema de funcionamento (bug) que pode necessitar de refatoração para corrigir a raiz do problema.  Os comentários mencionam ""regression"" (regressão), indicando um teste de regressão falhou, e também discutem a manipulação de vetores e exceções, o que pode levar a mudanças de código (refatoração) para corrigir o erro.  A combinação de um possível bug e a menção explícita de regressão justificam a classificação 'Ambos'."
85,56366,"2024-12-26 03:58:05","2025-01-06 13:48:38","2025-01-06 13:48:39","vm.compileFunction results in an abort","### Version

v22.11.0

### Platform

```text
Linux u24vm 6.8.0-50-generic #51-Ubuntu SMP PREEMPT_DYNAMIC Sat Nov  9 17:58:29 UTC 2024 x86_64 x86_64 x86_64 GNU/Linux
```

### Subsystem

vm

### What steps will reproduce the bug?

Setup a node instance,
```
» node
```
and run the following javascript code.
```
vm = require('vm');
_454 = (new vm.Script('')).createCachedData();
_723 = {cachedData:_454,produceCachedData:true};
vm.compileFunction('',undefined,_723);
```
Then the node instance occurs an abort.

### How often does it reproduce? Is there a required condition?

This abort can always be triggered following the steps above.

### What is the expected behavior? Why is that the expected behavior?

If any error occurs, an exception or similar error-reporting stuff should be thrown, caught, and handled correctly. There is no reason to abort the whole node process.

### What do you see instead?

```
 » node                                                                     
Welcome to Node.js v22.11.0.
Type "".help"" for more information.
> vm = require('vm');
{
  Script: [class Script extends ContextifyScript],
  createContext: [Function: createContext],
  createScript: [Function: createScript],
  runInContext: [Function: runInContext],
  runInNewContext: [Function: runInNewContext],
  runInThisContext: [Function: runInThisContext],
  isContext: [Function: isContext],
  compileFunction: [Function: compileFunction],
  measureMemory: [Function: measureMemory],
  constants: [Object: null prototype] {
    USE_MAIN_CONTEXT_DEFAULT_LOADER: Symbol(vm_dynamic_import_main_context_default),
    DONT_CONTEXTIFY: Symbol(vm_context_no_contextify)
  }
}
> _454 = (new vm.Script('')).createCachedData();
<Buffer 28 06 de c0 74 fe da 79 00 00 00 00 f5 24 1e 1c ad 85 35 f2 30 01 00 00 00 00 00 00 00 00 00 00 01 20 54 03 24 07 b4 60 00 00 00 00 02 00 00 00 01 0c ... 286 more bytes>
> _723 = {cachedData:_454,produceCachedData:true};
{
  cachedData: <Buffer 28 06 de c0 74 fe da 79 00 00 00 00 f5 24 1e 1c ad 85 35 f2 30 01 00 00 00 00 00 00 00 00 00 00 01 20 54 03 24 07 b4 60 00 00 00 00 02 00 00 00 01 0c ... 286 more bytes>,
  produceCachedData: true
}
> vm.compileFunction('',undefined,_723);
FATAL ERROR: v8::ScriptCompiler::CreateCodeCacheForFunction Expected SharedFunctionInfo with wrapped source code
----- Native stack trace -----

 1: 0xe19ca5 node::OnFatalError(char const*, char const*) [node]
 2: 0x123f996 v8::Utils::ReportApiFailure(char const*, char const*) [node]
 3: 0x1248df7 v8::ScriptCompiler::CreateCodeCacheForFunction(v8::Local<v8::Function>) [node]
 4: 0xf610b8 node::contextify::ContextifyContext::CompileFunctionAndCacheResult(node::Environment*, v8::Local<v8::Context>, v8::ScriptCompiler::Source*, std::vector<v8::Local<v8::String>, std::allocator<v8::Local<v8::String> > >, std::vector<v8::Local<v8::Object>, std::allocator<v8::Local<v8::Object> > >, v8::ScriptCompiler::CompileOptions, bool, v8::Local<v8::Symbol>, node::errors::TryCatchScope const&) [node]
 5: 0xf62d2b node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&) [node]
 6: 0x7fca6940f5e2

----- JavaScript stack trace -----

1: internalCompileFunction (node:internal/vm:128:18)
2: compileFunction (node:vm:364:10)
3: REPL4:1:4
4: runInThisContext (node:vm:137:12)
5: defaultEval (node:repl:598:22)
6: bound (node:domain:433:15)
7: runBound (node:domain:444:12)
8: onLine (node:repl:927:10)
9: emit (node:events:530:35)
10: emit (node:domain:489:12)


[1]    1489272 IOT instruction (core dumped)  node
```

### Additional information

_No response_","closed","zyscoder",23655282,"{confirmed-bug,vm}","https://github.com/nodejs/node/issues/56366",6,"Refatoração",NULL,11,"node instance abort error exception handling node process javascript vm compilefunction cacheddata  fatal error v8 scriptcompiler createcodecacheforfunction sharedfunctioninfo wrapped source code internalcompilefunction compilefunction repl runinthiscontext defaulteval bound runbound online emit
","O título da issue ""vm.compileFunction results in an abort"" sugere um problema com a função `vm.compileFunction`.  O corpo da issue descreve um erro de abort no Node.js relacionado a manipulação de exceções,  `vm.compileFunction`, cache de dados e o compilador V8. Os comentários discutem a solução do problema e a correção.  Não há menção direta a testes de regressão, a ênfase está em corrigir um comportamento interno da função, o que caracteriza uma refatoração para melhorar a estabilidade e possivelmente o desempenho."
87,56230,"2024-12-11 17:45:22","2024-12-28 08:52:28","2024-12-28 08:52:28","assert.partialDeepStrictEqual not working when comparing [0] and [-0]","### Version

v22.12.0

### Platform

```text
Darwin something.local 24.1.0 Darwin Kernel Version 24.1.0: Thu Oct 10 21:05:23 PDT 2024; root:xnu-11215.41.3~2/RELEASE_ARM64_T6031 arm64
```


### Subsystem

_No response_

### What steps will reproduce the bug?

const assert = require('assert');


assert.throws(() => assert.deepStrictEqual([0], [-0]), Error);
assert.throws(() => assert.partialDeepStrictEqual([0], [-0]), Error); // This will fail

### How often does it reproduce? Is there a required condition?

Always

### What is the expected behavior? Why is that the expected behavior?

`assert.partialDeepStrictEqual` should behave as `assert.deepStrictEqual`

### What do you see instead?

The method call does not throw

### Additional information
","closed","puskin94",8344987,"{confirmed-bug,assert}","https://github.com/nodejs/node/issues/56230",0,"Nenhum",NULL,17,"assert partialdeepstrict equal deepstrict equal comportar método chamar lançar
","O título da issue ""assert.partialDeepStrictEqual not working when comparing [0] and [-0]"" e o corpo ""assert partialdeepstrict equal deepstrict equal comportar método chamar lançar"" indicam um problema com um teste específico (assert.partialDeepStrictEqual) e sua falha ao comparar dois valores. Não há menção a refatoração de código ou testes de regressão em geral, apenas a um problema em um teste unitário específico."
89,56204,"2024-12-10 10:57:44","2024-12-10 22:17:39","2024-12-10 22:17:39","--dns-result-order=ipv4first behaviour change in v22.12.0","### Version

v22.12.0

### Platform

```text
Microsoft Windows NT 10.0.20348.0 x64
```


### Subsystem

dns

### What steps will reproduce the bug?

We are tracking v22.x with a view to migrating in the Spring. Have just upgraded test system from v22.11.0 and restarted applications.

Applications are express configured to listen on https with server hostname. Under Node 18.x we are using --dns-result-order=ipv4first to get the binding to the IPV4 address rather than IPV6. This worked the same with v22.11.0

Now that v22.12.0 is installed in place of v22.11.0 - despite the argument still being in place, the application binds to the IPV6 address.

With the argument removed, the IPV6 address binds also.

### How often does it reproduce? Is there a required condition?

As above

### What is the expected behavior? Why is that the expected behavior?

Node binds to IPV4 address.

### What do you see instead?

Node binds to IPV6 address

### Additional information

In https://nodejs.org/en/blog/release/v22.12.0 I can see https://github.com/nodejs/node/pull/55392 

Using the same test as the original reporter, under Node 18.x I get 

null [ { address: '::1', family: 6 }, { address: '127.0.0.1', family: 4 } ]

Under 22.11.0 it is the same

null [ { address: '::1', family: 6 }, { address: '127.0.0.1', family: 4 } ]

But with 22.12.0 installed it outputs

null [ { address: '::1', family: 6 } ]

Thanks","closed","DevRCRun",61196639,"{confirmed-bug,dns,windows}","https://github.com/nodejs/node/issues/56204",4,"Nenhum",NULL,0,"node ipv4 ipv6 address bind upgrade version application system argument restart
","O título e o corpo da issue mencionam mudanças de comportamento relacionadas à ordem de resultados DNS (ipv4first) em uma versão específica do software (v22.12.0), bem como problemas com o binding de endereço ipv4 e ipv6.  Os comentários fornecem informações adicionais sobre tentativas de reprodução,  referências a mudanças no DNS do Node.js e a um possível duplicata. Não há menção explícita a refatoração ou testes de regressão. A issue descreve um problema e suas possíveis causas, não um processo de refatoração ou execução de testes."
268,43868,"2022-07-16 21:41:52","2022-11-23 08:06:26","2022-11-23 08:06:26","Uncaught exception on fetch (related to zlib, Z_BUF_ERROR)","### Version

18.6.0

### Platform

Linux pop-os 5.17.15-76051715-generic #202206141358~1655919116~22.04~1db9e34 SMP PREEMPT Wed Jun 22 19 x86_64 x86_64 x86_64 GNU/Linux

### Subsystem

undici

### What steps will reproduce the bug?

```js
async function test() {
    const x = await fetch(""http://www.sinlenoble.fr/solidarite/le-ccas"");
    const y = await x.text();
}

test().then(() => process.exit(0), () => process.exit(1))

process.on(""unhandledRejection"", (r) => console.log(""undhanled rejection"", r))
process.on(""uncaughtException"", (r) => console.log(""uncaught exception"", r))
```

Output:

```
(node:18923) ExperimentalWarning: The Fetch API is an experimental feature. This feature could change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
uncaught exception Error: unexpected end of file
    at Zlib.zlibOnError [as onerror] (node:zlib:189:17) {
  errno: -5,
  code: 'Z_BUF_ERROR'
}
```

### How often does it reproduce? Is there a required condition?

Always, but it may go away if the remote site used for testing changes its code/configuration.

### What is the expected behavior?

If there is an error with `fetch`, it should bubble inside the promise to be caught from the caller, instead of triggering an uncaught exception.

### What do you see instead?

```
uncaught exception Error: unexpected end of file
    at Zlib.zlibOnError [as onerror] (node:zlib:189:17) {
  errno: -5,
  code: 'Z_BUF_ERROR'
}
```

### Additional information

This is not the only site that triggered this","closed","coyotte508",342922,"{confirmed-bug,errors,fetch}","https://github.com/nodejs/node/issues/43868",10,"Ambos",NULL,129,NULL,"A issue relata um erro 'unexpected end of file' em Node.js v18 ao usar o `fetch` com um site que retorna um cabeçalho `content-encoding: gzip` incorretamente em um redirecionamento com corpo vazio.  Os comentários indicam que o problema está relacionado a uma alteração no Zlib do Node.js v18 e a um refatoramento no `pipeline` do undici.  Há discussão sobre a necessidade de um manipulador de erros no `pipeline` (refatoração) e a correção do problema tanto no lado do undici (adicionando um tratador de erros - refatoração) quanto na investigação da causa raiz no Node.js (testes de regressão, pois afeta a compatibilidade com versões anteriores).  A solução envolve correções tanto de código (refatoração no undici) quanto testes para garantir que não ocorra em outras situações (testes de regressão)."
372,36669,"2020-12-28 21:23:55","2021-01-09 16:54:45","2021-01-09 16:54:45","The Node.js will stuck when exec `Object.defineProperty(Array.prototype, '-1', {get: function(){return this[this.length - 1]}})` in REPL","* **Version**: v15.3.0
* **Platform**: Linux *** 5.9.11-3-MANJARO #1 SMP PREEMPT Sat Nov 28 09:08:57 UTC 2020 x86_64 GNU/Linux
* **Subsystem**:

### What steps will reproduce the bug?
```js
Object.defineProperty(Array.prototype, '-1', {get: function(){return this[this.length - 1]}})
```

When exec these code in REPL, the Node.js will let cpu occupancy rate become 100% and stuck itself.
<!--
Enter details about your bug, preferably a simple code snippet that can be
run using `node` directly without installing third-party dependencies.
-->

### How often does it reproduce? Is there a required condition?
100% reproduce.

### What is the expected behavior?

<!--
If possible please provide textual output instead of screenshots.
-->

### What do you see instead?

<!--
If possible please provide textual output instead of screenshots.
-->
```bash
> Object.defineProperty(Array.prototype, '-1', {get: function(){return this[this.length - 1]}})
Object(0) []
> 
```
### Additional information
It can be reproduce in Node.js v14.8.0 on my Android's termux.
 <!--
Tell us anything else you think we should know.
-->
","closed","Me7426",25323388,"{confirmed-bug,repl,stream}","https://github.com/nodejs/node/issues/36669",2,"Nenhum",NULL,12,"reproduce bug nodejs cpu occupancy rate percent stuck defineproperty array prototype get return length exec code repl
","A issue descreve um bug no Node.js relacionado ao uso de `Object.defineProperty` no Array.prototype.  Não há menção a refatoração de código ou testes de regressão. O foco é a resolução de um problema de execução e desempenho. Os comentários detalham a investigação da causa raiz do bug, mas não se referem a atividades de refatoração ou testes."
91,56115,"2024-12-02 23:05:38","2024-12-05 16:12:52","2024-12-05 16:12:52","Unable to catch error thrown during require in node.js v22 (works in v20)","### Version

v22.11.0

### Platform

```text
Darwin Davids-MacBook-Pro.local 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:30 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T6000 arm64
```


### Subsystem

_No response_

### What steps will reproduce the bug?

Create a new directory and add two files: bar.js and foo.js.

bar.js
```
try {
  require('./foo');
} catch (err) {
  console.log('got an error', err);
}
```
foo.js
```
Object.defineProperty(exports, ""__esModule"", { value: true });
const module_1 = require(""module"");
const require = (0, module_1.createRequire)(import.meta.url);
```
Run `node bar.js`.

Observe that with node v22 it exits with code 1 while with node v20 it exits with code 0. 

### How often does it reproduce? Is there a required condition?

It reproduces constantly.

### What is the expected behavior? Why is that the expected behavior?

I expect node to exit with code 0 because I wrapped the `require` with try/catch.

### What do you see instead?

node exits with code 1.

### Additional information

In practice, `bar.js` is my CLI tool, and `foo.js` is a user-created plugin over which I have no control.","closed","davidfirst",1963573,"{confirmed-bug,module}","https://github.com/nodejs/node/issues/56115",2,"Ambos",NULL,3,"node exit codigo erro plugin usuario criar controlar ferramenta cli pacote modulo importar falha captura excecao
","O título da issue sugere um problema de compatibilidade entre versões do Node.js, indicando a necessidade de refatoração para garantir a compatibilidade com a versão 22. Os comentários descrevem um bug relacionado à detecção de sintaxe ESM no `require`,  necessitando de correções (refatoração) e subsequentes testes de regressão para garantir que a correção não introduza novos problemas em outras áreas do código.  A menção a 'urgent fix' reforça a necessidade de ambos os tipos de ações."
93,55983,"2024-11-24 10:24:49","2024-11-28 16:26:18","2024-11-28 16:26:18","```fs.fstat``` results in an abort with some arguments","### Version

v22.11.0

### Platform

```text
Linux u24vm 6.8.0-48-generic #48-Ubuntu SMP PREEMPT_DYNAMIC Fri Sep 27 14:04:52 UTC 2024 x86_64 x86_64 x86_64 GNU/Linux
```


### Subsystem

fs.fstat, v8

### What steps will reproduce the bug?

0. Sorry that the abort occurs from a third-party library, and I'm not sure if it's proper to report the crash to nodejs community.
1. npm version: 10.9.0
2. Try to install the package: lzma-native.
```
a. npm init -y
{
  ""name"": ""package-cf2b3d61d5de70b987170d0fe1c84397"",
  ""version"": ""1.0.0"",
  ""main"": ""index.js"",
  ""scripts"": {
    ""test"": ""echo \""Error: no test specified\"" && exit 1""
  },
  ""keywords"": [],
  ""author"": """",
  ""license"": ""ISC"",
  ""description"": """"
}

b. npm shrinkwrap

c. npm install --save lzma-native
added 8 packages, and audited 9 packages in 4s

1 package is looking for funding
  run `npm fund` for details

found 0 vulnerabilities

d. npm audit fix
added 8 packages, and audited 9 packages in 4s

1 package is looking for funding
  run `npm fund` for details

found 0 vulnerabilities

```
the final package.json is as follows:
```
{
  ""name"": ""package-cf2b3d61d5de70b987170d0fe1c84397"",
  ""version"": ""1.0.0"",
  ""main"": ""index.js"",
  ""scripts"": {
    ""test"": ""echo \""Error: no test specified\"" && exit 1""
  },
  ""keywords"": [],
  ""author"": """",
  ""license"": ""ISC"",
  ""description"": """",
  ""dependencies"": {
    ""lzma-native"": ""^8.0.6""
  }
}
```
2. Setup a node instance,
```
node
```
3. and run the following javascript code.
```
(async function() {
    var lib = await import('lzma-native');
    var result = lib.parseFileIndexFD(Symbol(""adjlyxzmfd""));;
})();
```
Then the node instance occurs an abort.

### How often does it reproduce? Is there a required condition?

This abort can always be triggered following the steps above.

### What is the expected behavior? Why is that the expected behavior?

If any error occurs, an exception or other similar error-reporting stuff should be thrown. There is no reason to abort the whole node process.

### What do you see instead?

 » node                                                                                                                                                
Welcome to Node.js v22.11.0.
Type "".help"" for more information.
> (async function() {
...     var lib = await import('lzma-native');
...     var result = lib.parseFileIndexFD(Symbol(""adjlyxzmfd""));;
... })();
Promise {
  <pending>,
  [Symbol(async_id_symbol)]: 28,
  [Symbol(trigger_async_id_symbol)]: 6
}
> FATAL ERROR: v8::ToLocalChecked Empty MaybeLocal
----- Native stack trace -----

 1: 0xe19ca5 node::OnFatalError(char const*, char const*) [node]
 2: 0x123f996 v8::Utils::ReportApiFailure(char const*, char const*) [node]
 3: 0x10e8085 node::DetermineSpecificErrorType[abi:cxx11](node::Environment*, v8::Local<v8::Value>) [node]
 4: 0xe38f71  [node]
 5: 0xf8d068  [node]
 6: 0x7d22ff20f5e2 

----- JavaScript stack trace -----

1: fstat (node:fs:1531:11)
2: exports.parseFileIndexFD (/home/u24vm/Projects/nodejsfuzz/packages/package-cf2b3d61d5de70b987170d0fe1c84397/node_modules/lzma-native/index.js:526:13)
3: REPL4:3:22


[1]    742850 IOT instruction (core dumped)  node

### Additional information

_No response_","closed","zyscoder",23655282,"{confirmed-bug,fs}","https://github.com/nodejs/node/issues/55983",1,"Nenhum",NULL,4,"abort v8 lzma native package install nodejs exception error report crash  fstat parsefileindexfd  node process  javascript  import  symbol  pending  error reporting  abort whole process
","O título e a descrição da issue mencionam um erro de abort ('abort') ao usar a função `fs.fstat`, com detalhes sobre o ambiente (v8, lzma, Node.js) e a natureza do problema (exceção, falha).  Os comentários pedem um exemplo mínimo reprodutível, o que indica a necessidade de investigação e solução do erro, mas não há menção direta a refatoração ou testes de regressão. O foco é na correção de um bug, não em melhorias de código ou testes."
94,55849,"2024-11-14 09:54:41","2024-11-17 10:25:13","2024-11-17 10:25:13","Timers mock panic with sub-test","### Version

v22.10.0

### Platform

_No response_

### Subsystem

_No response_

### What steps will reproduce the bug?

### 1. Create a test file `a.test.mjs`

```js
import test from 'node:test'

test.beforeEach((t) => {
    t.mock.timers.enable({ apis: ['Date'] })
    t.mock.timers.tick(1731488301220) // 2024-11-13 16:58:21.220
})

test('test 1', async (t) => {
    await t.test('sub test 1', async (t) => {
        //
    })
})
```

### 2. Run the following command to test

```bash
node --test --experimental-default-type=module ./a.test.mjs
```

### How often does it reproduce? Is there a required condition?

Every time

### What is the expected behavior? Why is that the expected behavior?

There should be not panic

### What do you see instead?

```
▶ test 1
  ✖ sub test 1 (1.0925ms)
    TypeError [Error]: Cannot redefine property: Symbol(MockTimers)
        at defineProperties (<anonymous>)
        at #createDate (node:internal/test_runner/mock/mock_timers:381:5)
        at Object.Date (node:internal/test_runner/mock/mock_timers:614:45)
        at node:internal/test_runner/mock/mock_timers:635:74
        at Array.forEach (<anonymous>)
        at #toggleEnableTimers (node:internal/test_runner/mock/mock_timers:635:5)
        at MockTimers.enable (node:internal/test_runner/mock/mock_timers:720:29)
        at TestContext.<anonymous> (file:///path/to/a.test.mjs:4:19)
        at TestHook.runInAsyncScope (node:async_hooks:211:14)
        at TestHook.run (node:internal/test_runner/test:934:25)
```

### Additional information

_No response_","closed","axetroy",9758711,"{confirmed-bug,test_runner}","https://github.com/nodejs/node/issues/55849",5,"Testes de Regressão",NULL,3,"test file a test mjs run command test node test experimental default type module a test mjs expect behavior panic see instead type error cannot redefine property symbol mocktimer create date object date array foreach mocktimer enable test context file a test mjs testhook runinasyncscope testhook run
","O título ""Timers mock panic with sub-test"" e o corpo do texto mencionam testes (""test file"", ""test mjs"", ""expect behavior"", ""testhook"", etc.) e problemas com mocks (""Timers mock panic"", ""mocktimer""). Os comentários também discutem testes e abordagens para reproduzir e corrigir falhas nos testes.  Não há menção explícita a refatoração de código, apenas a resolução de problemas em testes existentes."
